Timestamp,Number,A1,A2,A3_1,A3_2,A3_3,A3,A4,A5,A6,A7,A8,A9,A10,B1,B2,B3_1,B3_2,B3_3,B3_4,B3_5,B3_6,B3_7,B3_8,B3_9,B3_10,B3_11,B3_12,B3_13,B3_average,B4_1,B4_2,B4_3,B4_4,B4_5,B4_6,B4_7,B4_8,B4_9,B5_1,PerceivedBeingInfluenced,B5_2,B5_3,B5_4,B6_1,PerceivedInfluence,BothSpheres,SphereofInfluence,B6_2,B6_3,B6_4,B6_5,C1_1,C1_2,C1_3,C1_4,C2_1,C2_2,C2_3,C2_4,C3_1,C3_2,C3_3,C3_4,C4_1,C4_2,C4_3,NeighborPlantVariety,D1,D2,D3,D4,D5,E1,E2,E3,E4,E5,E6,F1,F2,F3,F4,F5,F6,F7,F8,F9,F9_1,F10,F11,Quality Assessment
44388.43,299,0,1,0,0,0,0,"a, b",2,1,1,0,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,4,3,3,3,1,3,3,3,3,1,1,1,3,3,3,3,2,1,6,3,0,c,1,1,4,1,3,1,2,3,"c, d, e",0,1,3,"a, d, f",3,"a, b, c, e",1,"c, e, f, h",3,1,1,1,0,36,3,Policeman,4,10800000,4,d,"b, d, f, i",1,a,HCM,Qualified
44399.72,55,0,1,0,0,0,0,"a, b",2,1,1,0,1,1,2,3,4,4,4,1,2,3,4,3,2,3,3,3,1,2.846153846,2,4,4,4,4,4,4,3,3,2,0,2,2,2,3,1,0,3,3,3,4,4,3,1,6,3,0,e,0,1,4,1,4,1,3,4,"c, d, e",0,0,,,,,3,"a, b, c, f",4,1,1,1,0,31,3,Government officer,4,15000000,5,"b, c, d, e","a, b, c, d, e, g, h",1,b,Nghe An,Qualified
44375.97,459,0,1,0,0,0,0,c,2,1,1,0,2,1,2,3,3,2,2,2,2,3,3,3,2,2,2,2,2,2.307692308,4,4,4,4,4,4,4,2,4,2,0,2,2,3,3,1,0,3,3,3,4,4,2,1,6,3,0,c,0,1,4,1,4,1,1,4,c,0,1,3,a,4,c,1,b,4,1,1,1,0,36,3,Worker,3,9000000,3,f,"a, b, e, h",1,a,HCM,Qualified
44388.54,289,0,1,0,0,0,0,a,2,1,1,0,1,1,1,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,4,4,1,1,1,4,4,4,4,2,1,2,3,1,b,1,3,4,1,4,1,4,4,c,0,1,5,a,4,e,3,a,4,1,1,1,1,31,3,Government officer,3,3000000,2,b,c,0,a,HCM,Warning
44399.8,35,0,1,0,0,0,0,"a, b, c",3,1,1,0,2,1,2,3,2,2,2,2,2,3,3,2,2,3,2,2,2,2.230769231,3,3,3,2,3,2,3,3,2,2,0,2,2,3,3,1,0,3,3,3,3,3,2,1,3,3,0,e,0,1,4,1,3,1,3,3,"c, d, e",0,1,3,b,3,"a, b, c, d, e",3,"a, b, c, h",3,1,1,1,0,35,3,Government officer,4,50000000,7,"a, e","a, c",0,a,HN,Qualified
44383.98,322,0,1,0,0,0,0,"a, b, c, d, e",1,2,3,1,2,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,1,1,1,3,3,3,3,3,1,6,3,0,e,0,2,3,1,3,1,3,4,"c, e",0,1,4,"a, b, d, f, g",4,"b, c",5,"a, b, c, e, f, h",4,1,1,1,0,50,4,Designer,4,20000000,6,"a, b, c, d, e","a, b, c, e",0,b,HN,Warning
44389.41,243,0,1,0,1,0,1,a,3,1,1,0,1,1,3,3,4,3,3,4,3,4,3,3,2,3,2,3,2,3,3,3,3,3,4,3,3,2,3,2,0,3,3,3,2,0,0,4,2,3,3,3,3,1,6,3,0,e,0,1,4,1,3,1,3,3,"a, c, d, e",0,1,4,"b, c, e, f",3,"a, c, d, e",2,"c, e, f",4,1,1,1,1,45,4,Businessman,4,50000000,7,"b, c, d","a, b, e, f, g, h, j",1,a,HCM,Qualified
44388.57,280,0,1,0,0,0,0,c,1,1,1,0,1,1,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,1,3,3,3,3,1,1,1,3,3,4,4,2,1,2,3,0,c,0,1,4,1,4,1,4,3,"c, e",0,1,3,"b, d, e",3,"b, c, e",3,"b, c, e, f, g, h",4,1,1,1,0,32,3,Pharmacist,4,10000000,4,f,"a, b, c, e, f, g, h, i, j",1,a,HCM,Qualified
44390.53,188,0,1,0,0,0,0,"a, c",3,1,1,0,1,1,2,3,4,4,3,3,3,3,4,2,2,3,4,3,3,3.153846154,3,4,4,3,3,4,4,4,3,2,0,2,3,3,4,1,0,3,4,3,4,4,2,1,3,3,0,e,0,2,3,1,3,1,2,4,"c, d",0,0,,,,,1,,3,1,1,1,0,23,2,Freelancer,4,NA,NA,f,"a, b, c, d, f, g, h, i",1,a,HCM,Qualified
44390.42,214,0,1,0,1,0,1,"a, b",2,1,1,0,1,1,3,3,4,3,4,3,3,4,4,3,4,4,3,4,3,3.538461538,3,4,4,4,4,3,4,3,3,3,1,3,3,3,3,1,1,1,3,3,4,4,2,1,5,3,1,a,1,1,4,1,3,1,3,3,"c, d, e",0,1,3,"a, d",3,"a, b, e",2,"g, i (research)",3,1,1,1,0,41,4,Lecturer,5,40000000,7,e,"d, f, h, i",1,a,HN,Qualified
44390.41,222,0,1,1,1,0,1,"a, c",3,2,3,1,1,1,2,3,3,3,4,3,2,3,3,3,4,3,3,3,2,3,3,4,3,3,4,4,4,4,2,3,1,2,2,2,3,1,1,1,3,3,4,4,2,1,6,3,1,b,1,1,3,1,3,1,2,4,"a, c, e",0,1,4,"b, f",3,"a, c, e",2,"b, g, h",3,1,1,1,0,43,4,Lecturer,5,40000000,7,c,"a, b, c, d, f, h",1,a,HN,Qualified
44390.43,206,0,1,0,1,0,1,a,2,2,1,0,1,1,2,3,3,3,3,4,2,3,3,2,3,4,4,3,3,3.076923077,3,4,4,3,3,3,4,4,3,3,1,3,3,3,3,1,1,1,3,3,4,4,3,1,6,3,1,c,1,1,4,1,3,1,2,3,"a, d, e",0,1,3,"b, d, e",3,"c, e",2,"d, f",3,1,1,1,0,33,3,Lecturer,5,15000000,5,e,"a, c, e",0,a,HN,Qualified
44392.39,132,0,1,0,0,0,0,"a, b, c",3,1,1,0,1,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,4,3,3,3,1,3,3,3,3,1,1,1,3,3,4,4,2,1,3,3,1,a,1,1,3,1,3,1,2,3,"c, d, e",0,0,,,,,2,g,4,1,1,1,0,29,2,Lecturer,5,10000000,4,f,"b, c, f, g, h",1,a,HCM,Qualified
44367.81,524,0,1,0,0,0,0,"a, b, c",3,1,1,0,1,1,3,3,4,4,4,3,3,4,4,4,3,3,3,3,3,3.461538462,4,4,4,3,4,4,4,3,3,3,1,3,3,3,4,1,1,1,4,4,4,4,2,1,3,3,0,c,1,1,4,1,3,1,2,3,d,0,1,3,"b, f",3,"b, c, e",2,"b, c, f, g",4,1,1,1,0,45,4,Lecturer,5,10000000,4,e,"a, b, c, d, e, f, g, h, i",1,a,HCM,Qualified
44388.91,257,0,1,1,1,1,1,"a, b, c",2,1,1,0,1,1,4,3,1,4,4,4,3,2,4,2,4,3,2,4,4,3.153846154,4,4,4,3,4,4,4,4,3,1,0,1,3,3,4,1,0,3,4,4,4,4,2,1,6,3,0,"a, b, c",1,3,4,1,4,1,4,4,"c, e",0,1,5,"a, b, e, f",4,"b, c, d, e",4,"b, c, f, g",3,1,1,1,0,35,3,Lecturer,5,7000000,3,c,"a, b, c, d, f, g, h, i, j",1,a,HN,Qualified
44367.84,520,0,1,0,0,0,0,b,3,1,1,0,1,1,3,3,4,3,2,4,3,3,3,3,3,3,3,3,3,3.076923077,4,4,4,3,4,4,4,3,2,3,1,3,3,3,3,1,1,1,3,3,3,3,2,1,3,3,1,d (bird),1,1,4,1,3,1,2,3,"c, e",0,1,3,"a, b, f",3,"b, c, e",2,"a, b, c",3,1,1,1,0,37,3,Lecturer,5,NA,NA,f,"a, b, c, h",1,a,HCM,Qualified
44390.72,164,0,1,1,0,0,1,a,3,1,2,1,1,1,4,3,4,4,4,4,4,4,4,4,3,3,4,4,3,3.769230769,3,4,4,3,4,4,4,4,3,3,1,3,3,3,3,1,1,1,3,3,4,3,2,1,6,2,0,e,0,1,3,1,3,1,2,3,"c, d, e",0,1,3,e,3,"b, c, d, e",2,"a, b, g",4,1,1,1,0,60,5,Lecturer,5,20000000,6,c,"f, g, h, i",1,a,HN,Qualified
44390.39,228,0,1,0,0,0,0,"b, c",3,2,2,1,1,1,3,3,3,3,3,2,3,4,4,3,3,3,3,2,3,3,4,4,4,3,4,4,4,3,3,3,1,3,2,3,4,1,1,1,4,4,4,4,3,1,6,3,1,c,3,2,2,0,3,1,2,3,"a, c, d",0,1,3,"a, b",3,"a, c, e",2,"a, b, e",4,1,1,1,0,46,4,Teacher,5,30000000,7,"c, d, e","a, b, c, f, h, i",1,a,HCM,Qualified
44390.68,169,0,1,0,0,0,0,e,2,1,1,0,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,4,1,1,1,1,3,1,6,3,1,c,1,2,4,1,4,1,3,4,"d, e",0,0,,,,,5,h,4,1,1,1,0,23,2,Teacher,4,15000000,5,"a, b, c",c,0,a,HCM,Warning
44390.53,185,0,1,0,0,0,0,e,2,1,1,0,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,4,1,1,1,1,3,1,6,3,1,c,1,2,4,1,4,1,3,4,"d, e",0,0,,,,,5,h,4,1,1,1,0,23,2,Teacher,4,15000000,5,"a, b, c",c,0,a,HCM,Warning
44390.41,223,0,1,0,0,0,0,a,3,1,1,0,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,4,4,4,4,1,1,1,4,4,4,4,2,1,6,3,0,e,0,1,3,1,3,1,1,3,"a, c, d, e",0,1,2,,3,"c, e",1,,4,1,1,1,0,NA,6,Teacher,5,NA,NA,"a, c, d, e","a, f, h, i",1,a,HCM,Warning
44388.9,259,0,1,0,1,0,1,"a, c",3,1,2,1,2,2,2,3,4,4,4,2,2,4,4,2,3,3,2,3,2,3,4,4,4,4,4,4,4,4,4,4,1,3,3,3,3,1,1,1,3,3,4,4,3,1,6,3,1,"a, b, c",3,1,4,1,4,1,3,3,"a, c, d",0,1,2,,1,"b, c, d",2,"g, h",4,1,1,1,0,26,2,Teacher,4,9-10000000,3,c,"b, c, d, f, i",1,a,HN,Qualified
44390.55,182,0,1,1,0,0,1,a,3,2,2,1,1,1,3,3,4,4,2,2,4,4,4,3,3,3,3,3,3,3.230769231,3,4,4,3,4,4,4,4,3,2,0,2,3,3,4,1,0,3,4,4,4,4,3,1,6,3,1,b,1,3,3,1,3,1,3,3,"a, c, d, e",0,1,3,"a, b, d",3,"a, b, c, d, e",3,"b, c, e, f, g",4,1,1,1,0,34,3,Teacher,5,20000000,6,"d, e","b, c, e, f, g, h, i",1,a,HN,Qualified
44390.61,174,0,1,0,0,0,0,"a, b, c",3,1,1,0,2,1,3,3,4,3,3,2,2,2,3,2,3,3,1,2,2,2.461538462,3,3,3,3,4,4,4,3,3,2,0,2,2,2,4,1,0,3,4,4,4,4,3,1,6,3,0,e,0,2,4,1,4,1,3,3,"c, e",0,1,3,"c, d, e, f",3,"a, b, c",2,"a, b, c",3,1,1,1,0,55,5,Teacher,5,15000000,5,"a, b, c, d","c, e, f, h, i",1,a,HN,Qualified
44391.32,154,0,1,0,0,0,0,"b, c, d",1,1,1,0,2,2,3,3,1,1,1,1,2,1,1,2,1,2,2,1,2,1.384615385,3,4,4,4,4,4,4,3,3,2,0,2,3,3,3,1,0,3,3,3,4,4,2,1,6,3,0,e,0,1,3,1,3,1,3,4,c,0,1,3,"a, b, f",3,"c, e",2,"a, b, c",4,1,1,1,0,43,4,Teacher,5,13000000,4,"a, b, c, d, e","a, b, f, g, h, i",1,a,HCM ,Qualified
44390.78,160,0,1,0,0,0,0,b,1,1,1,0,3,1,1,2,4,3,3,3,4,4,4,4,3,3,3,3,3,3.384615385,3,4,3,3,3,3,4,4,4,2,0,2,2,2,4,1,0,3,4,4,4,4,2,1,6,3,1,c,1,1,3,1,3,1,2,3,d,0,1,3,b,3,c,3,f,3,1,1,1,0,34,3,Teacher,5,10000000,4,e,"b, c",0,a,HN,Qualified
44367.72,535,0,1,1,0,0,1,"a, b, c",2,1,2,1,1,1,3,3,3,4,3,2,3,3,3,3,2,3,3,3,3,2.923076923,3,3,4,4,4,4,4,3,3,3,1,3,3,3,3,1,1,1,3,3,3,3,2,1,6,3,0,e,0,1,3,1,3,1,3,2,"a, d, e",0,1,3,"a, d, e",2,"a, b",2,"a, c, f",3,1,1,1,0,36,3,Teacher,5,10000000,4,"b, d","a, c, e, g, h",1,b,Quang Ninh,Qualified
44370.46,492,0,1,0,0,0,0,"a, b, c, d",3,2,1,0,1,1,2,3,4,4,4,3,3,4,4,3,3,3,3,3,3,3.384615385,3,4,4,4,3,3,4,3,3,3,1,3,3,3,3,1,1,1,3,3,4,4,2,1,6,3,0,e,0,1,3,1,3,1,2,3,"a, c, d, e",0,0,,,,,2,"a, b, c, e, f, g, h",3,1,1,1,0,44,4,Teacher,5,10000000,4,"c, e","a, b, c, d, e, f, g, h, i, j",1,a,HCM,Qualified
44381.89,337,0,1,1,0,0,1,a,3,2,1,0,2,1,2,1,1,1,1,1,2,2,2,2,1,2,2,2,2,1.615384615,4,4,4,4,4,4,4,4,4,4,1,4,4,4,3,1,1,1,3,3,4,4,3,1,6,3,1,a,1,2,4,1,4,1,1,4,"c, e",0,0,,,,,5,"a, b, c, d, e, h",4,1,1,1,0,47,4,Teacher,4,10000000,4,"a, b, c, d, e","a, b, c, e",0,a,HN,Qualified
44399.75,47,0,1,0,0,0,0,"b, c",3,1,1,0,2,1,3,3,4,4,4,2,2,3,3,3,3,3,3,3,3,3.076923077,3,4,4,4,4,4,4,4,4,4,1,4,4,4,4,1,1,1,4,4,4,4,2,1,3,3,0,"b, c",3,3,2,0,4,1,1,3,"c, e",0,0,,,,,2,"a, b",3,1,1,1,0,31,3,Teacher,3,8000000,3,"d, e","a, b, c, d, f, g, h, i",1,a,HCM,Qualified
44367.76,528,0,1,0,0,0,0,b,2,1,1,0,1,1,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,2.846153846,4,3,3,3,3,4,3,3,3,3,1,3,3,3,3,1,1,1,3,3,4,4,2,1,3,3,0,e,0,1,4,1,3,1,1,3,d,0,0,,,,,1,a,3,1,1,1,0,35,3,Teacher,5,8000000,3,f,"a, c, f, g, h",1,a,HCM,Qualified
44368.37,519,0,1,0,0,0,0,c,2,1,1,0,1,1,2,3,4,4,2,2,3,3,3,3,2,3,3,3,3,2.923076923,3,4,4,3,3,4,4,4,3,3,1,3,3,3,3,1,1,1,3,3,4,4,2,1,3,3,0,e,0,1,3,1,3,1,2,3,e,0,0,,,,,2,a,3,1,1,1,0,41,4,Teacher,5,8000000,3,"c, d",c,0,b,HCM,Qualified
44390.53,187,0,1,0,0,0,0,"a, c",3,1,1,0,1,1,3,3,3,3,4,3,2,3,3,1,4,1,2,3,2,2.615384615,4,4,4,3,3,3,4,2,3,3,1,3,3,3,3,1,1,1,3,3,4,4,2,1,2,1,1,"a, b",2,2,3,1,3,1,2,2,"a, c, e",0,1,2,,2,"a, d, e",1,"a, b, d, h",4,1,1,1,1,23,2,Teacher,4,NA,NA,f,"c, f, g, h, j",1,a,HCM,Qualified
44388.54,288,0,1,0,0,0,0,"a, b, c",2,1,1,0,1,1,3,3,3,3,4,4,3,4,4,3,4,3,3,3,3,3.384615385,3,4,4,3,4,4,4,3,3,3,1,3,3,3,3,1,1,1,3,3,4,4,2,1,5,3,1,c,1,1,3,1,3,1,2,2,"a, c, d, e",0,1,2,,2,"a, c, d, e",1,"a, b, c, e, f, g",4,1,1,1,0,29,2,Teacher,4,10000000,4,e,"b, c, e, h, i",1,a,HCM,Qualified
44390.72,165,0,1,1,0,0,1,c,2,1,1,0,2,1,2,3,4,4,3,1,3,4,4,4,4,4,4,4,4,3.615384615,3,4,4,3,3,3,4,2,3,4,1,3,4,4,3,1,1,1,3,3,4,4,3,1,6,3,0,b,0,2,3,1,3,1,3,4,"a, e",0,0,,,,,2,a,3,1,1,1,0,24,2,Teacher,4,5000000,3,c,"c, d, h",1,a,Kon Tum ,Qualified
44380.57,385,0,1,0,0,0,0,b,1,1,1,0,1,1,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,4,4,1,1,1,4,4,4,4,2,1,4,3,0,b,1,1,4,1,4,1,3,4,"a, c, d",0,1,4,b,4,"a, b, c",2,"a, b, c, d",1,0,1,1,0,54,5,Teacher,5,NA,NA,f,"a, b, c, d",0,a,HCM,Warning
44395.47,96,0,1,0,0,0,0,"a, c",1,1,1,0,1,1,3,3,4,4,3,3,3,4,4,3,3,3,3,3,3,3.307692308,4,4,4,2,3,3,3,3,3,3,1,3,3,3,3,1,1,1,3,3,3,4,2,1,6,3,1,a,1,1,4,1,3,1,3,3,"c, e",0,1,3,"a, b, c, d, f",2,"c, e",2,"b, c, g",3,1,1,1,0,29,2,Officier,4,NA,NA,f,"b, c, e, h, i",1,a,HCM,Qualified
44376.94,446,0,1,0,0,0,0,"b, c",1,1,1,0,3,1,3,3,4,4,3,1,1,4,4,4,4,3,4,3,4,3.307692308,4,4,4,3,3,4,4,3,4,3,1,4,4,4,4,1,1,1,3,4,4,4,2,1,4,3,0,"a, b, c",0,3,3,1,4,1,4,3,"c, d, e",0,1,3,"a, b, f",3,"a, b, c, d, e",2,"a, b, c, e, f, g",4,1,1,1,1,18,1,Student,3,0,1,"b, c, d","a, b, c, h",1,b,Long An,Qualified
44379.62,435,0,1,0,1,0,1,c,1,1,1,0,1,1,3,3,3,3,4,3,4,4,4,3,4,4,4,4,4,3.692307692,3,4,4,4,4,4,4,4,4,3,1,3,3,3,3,1,1,1,3,3,4,4,2,1,6,3,0,e,0,1,1,0,4,1,2,4,"a, d, e",0,1,2,,2,"a, b, c, e",2,f,3,1,1,1,0,60,5,Retiree,4,5000000,3,c,"c, f, h, i",1,a,HN,Qualified
44399.78,39,0,1,0,0,0,0,"a, b, d",3,1,2,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,1,1,1,3,3,3,3,2,1,5,3,1,"b, c",3,2,3,1,3,1,1,3,e,0,0,,,,,3,b,3,1,1,1,0,63,6,Retiree,5,20000000,6,b,"a, b, c, e, f, g, h",1,a,HCM,Warning
44388.36,316,0,1,1,0,0,1,a,3,1,2,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,1,1,1,3,3,3,3,2,1,3,3,0,b,0,1,3,1,3,1,2,3,e,0,0,,,,,1,b,3,1,1,1,1,57,5,Retiree,4,15000000,5,f,"a, b, e, f, g, h, i, j",1,a,HCM,Warning
44388.49,293,0,1,1,1,0,1,a,3,1,2,1,1,1,1,3,4,3,3,3,3,4,4,3,2,3,2,2,2,2.923076923,4,4,3,3,4,3,4,2,4,3,1,4,3,4,3,1,1,1,3,3,4,4,2,1,6,3,0,b,0,1,2,0,4,1,3,3,"a, c, e",0,1,5,"a, b, c, d, e, f, g",3,"a, b, c, d, e, f (green space)",1,"b, c",4,1,1,1,1,60,5,Retiree,3,9000000,3,"d, e","a, b, c, h, j",1,a,HCM,Qualified
44388.4,309,0,1,0,0,0,0,b,2,1,1,0,1,1,3,3,3,3,2,2,2,3,3,2,3,2,3,3,3,2.615384615,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,1,1,1,3,3,3,3,2,1,3,3,1,b,1,1,3,1,3,1,2,3,c,0,1,3,"a, b, f",3,"c, d",2,"a, c, f",4,1,1,1,1,45,4,Freelancer,3,8000000,3,"b, d","a, b, c, d, f, g, h, i",1,a,HCM,Qualified
44399.71,59,1,1,0,0,0,0,c,2,1,1,0,1,1,2,2,2,2,2,1,1,2,1,1,1,1,2,2,2,1.538461538,3,3,2,3,2,2,2,2,2,2,0,2,2,2,2,0,0,4,2,2,2,2,2,1,1,1,0,c,0,1,3,1,1,0,2,3,c,0,1,1,,1,b,1,a,1,0,0,0,NA,39,3,IT,4,5000000,3,f,a,0,b,HCM,Qualified
